gaze_saccades,gaze_fixations,eye_mesh_saccades,eye_mesh_fixations,eyebrow_mesh_saccades,eyebrow_mesh_fixations,Total_Gains,Total_Losses,Mystery_Boxes_Opened,Risk_Boxes_Opened,Bank_Loans,Extra_Time_Gained,Green_Coins_Collected,Red_Coins_Collected,Risky_Decisions,Average_Decision_Time,Mystery_Boxes_Clicked,target,gaze_saccades_x_gaze_fixations
-0.1022824295358386,-0.2492110979966172,-0.1515980168885989,-0.2483452332600622,-0.1212250808340308,-0.2489076461771274,-1.306717697908485,-0.7395073873661744,-0.8927699698514578,-1.1552694443027574,-0.6145183392378246,-0.9138452053230838,-1.122960155898763,-1.0696491146128906,-1.0891297798280457,1.915949393254868,-0.9130068460789732,2,0.0254899165703879
-0.1022824295358386,-0.0959617208724646,-0.1515980168885989,-0.0904383769464877,-0.1212250808340308,-0.0925795326316697,-1.2922404810483907,-0.7395073873661744,-0.8927699698514578,-1.1552694443027574,-0.6145183392378246,-0.9138452053230838,-1.122960155898763,-1.0696491146128906,-1.0891297798280457,0.55005548887295,-0.9130068460789732,0,0.0098151979532756
-0.1022824295358386,-0.3258357865586935,-0.1515980168885989,-0.3272986614168494,-0.1212250808340308,-0.3270717029498563,-1.2777632641882968,-0.7395073873661744,-0.8927699698514578,-1.1552694443027574,-0.6145183392378246,-0.9138452053230838,-1.122960155898763,-1.0696491146128906,-1.0891297798280457,0.6337171699721785,-0.9130068460789732,0,0.0333272758789441
-0.1022824295358386,-0.3258357865586935,-0.1515980168885989,-0.3272986614168494,-0.1212250808340308,-0.3270717029498563,-1.2763155425022874,-0.7395073873661744,-0.8927699698514578,-1.1552694443027574,-0.6145183392378246,-0.9138452053230838,-1.122960155898763,-1.0696491146128906,-1.0891297798280457,0.2727281942365963,-0.9130068460789732,0,0.0333272758789441
-0.1022824295358386,-0.3258357865586935,-0.1515980168885989,-0.3272986614168494,-0.1212250808340308,-0.3270717029498563,-1.274867820816278,-0.7395073873661744,-0.8927699698514578,-1.1552694443027574,-0.6145183392378246,-0.9138452053230838,-1.122960155898763,-1.0696491146128906,-1.0891297798280457,-0.0018574030492383,-0.9130068460789732,0,0.0333272758789441
-0.1022824295358386,-0.3258357865586935,-0.1515980168885989,-0.3272986614168494,-0.1212250808340308,-0.3270717029498563,-1.2734200991302684,-0.7395073873661744,-0.8927699698514578,-1.1552694443027574,-0.6145183392378246,-0.9138452053230838,-1.122960155898763,-1.0696491146128906,-1.0891297798280457,-0.1896615819311118,-0.9130068460789732,0,0.0333272758789441
-0.1022824295358386,-0.3258357865586935,-0.1515980168885989,-0.3272986614168494,-0.1212250808340308,-0.3270717029498563,-1.271972377444259,-0.7395073873661744,-0.8927699698514578,-1.1552694443027574,-0.6145183392378246,-0.9138452053230838,-1.122960155898763,-1.0696491146128906,-1.0891297798280457,-0.3492143239338149,-0.9130068460789732,0,0.0333272758789441
-0.1022824295358386,-0.4024604751207698,-0.1515980168885989,-0.4062520895736367,-0.1212250808340308,-0.4052357597225852,-1.2705246557582497,-0.7395073873661744,-0.8927699698514578,-1.1552694443027574,-0.6145183392378246,-0.9138452053230838,-1.122960155898763,-1.0696491146128906,-1.0891297798280457,-0.4622961581902036,-0.9130068460789732,0,0.0411646351875002
-0.1022824295358386,-0.3258357865586935,-0.1515980168885989,-0.3272986614168494,-0.1212250808340308,-0.3270717029498563,-1.2560474388981555,-0.7395073873661744,-0.8927699698514578,-1.1552694443027574,-0.6145183392378246,-0.9138452053230838,-1.122960155898763,-1.0696491146128906,-1.0891297798280457,-0.5625827294129838,-0.9130068460789732,0,0.0333272758789441
-0.1022824295358386,-0.4024604751207698,-0.1515980168885989,-0.4062520895736367,-0.1212250808340308,-0.4052357597225852,-1.2415702220380616,-0.7395073873661744,-0.8927699698514578,-1.1552694443027574,-0.6145183392378246,-0.9138452053230838,-1.122960155898763,-1.0696491146128906,-1.0891297798280457,-0.6442068135559287,-0.9130068460789732,0,0.0411646351875002
